timestamp,oil_temp_c
2026-05-21 06:00:00,47.8385
2026-05-21 06:20:00,73.0975
2026-05-21 06:40:00,85.265
2026-05-21 07:00:00,89.3309
,
2026-05-21 08:20:00,65.7785
2026-05-21 08:40:00,81.7342
2026-05-21 09:00:00,88.5783
2026-05-21 09:20:00,89.94
,
2026-05-21 10:40:00,46.5
2026-05-21 11:00:00,64.72
2026-05-21 11:20:00,82.6533
2026-05-21 11:40:00,87.9585
,
2026-05-21 12:20:00,90.8361
2026-05-21 12:40:00,91.175
2026-05-21 13:00:00,91.7462
,
2026-05-22 07:40:00,45.3
2026-05-22 08:00:00,71.105
2026-05-22 08:20:00,85.0083
2026-05-22 08:40:00,89.7242
2026-05-22 09:00:00,91.1858
2026-05-22 09:20:00,91.5325
2026-05-22 09:40:00,91.8648
,
2026-05-22 11:20:00,64.827
2026-05-22 11:40:00,82.7083
2026-05-22 12:00:00,88.669
,
2026-05-22 12:40:00,93.2312
2026-05-22 13:00:00,92.615
2026-05-22 13:20:00,92.3175
2026-05-22 13:40:00,92.1083
,
2026-05-23 07:00:00,36.2
2026-05-23 07:20:00,58.7817
2026-05-23 07:40:00,79.8892
2026-05-23 08:00:00,87.1117
2026-05-23 08:20:00,89.9517
2026-05-23 08:40:00,90.9786
,
2026-05-23 10:00:00,67.9518
2026-05-23 10:20:00,83.2517
2026-05-23 10:40:00,87.625
,
2026-05-23 11:00:00,91.9
2026-05-23 11:20:00,91.8358
2026-05-23 11:40:00,92.0067
2026-05-23 12:00:00,92.0
,
2026-05-24 06:00:00,33.7667
2026-05-24 06:20:00,58.3133
2026-05-24 06:40:00,80.6383
2026-05-24 07:00:00,88.0583
2026-05-24 07:20:00,90.3458
,
2026-05-24 09:40:00,60.16
2026-05-24 10:00:00,81.3617
2026-05-24 10:20:00,88.5464
,
2026-05-24 11:40:00,64.3934
2026-05-24 12:00:00,79.0178
,
2026-05-24 12:20:00,89.6412
,
2026-05-24 13:20:00,91.5896
2026-05-24 13:40:00,91.8699
,
2026-05-25 06:20:00,54.4722
2026-05-25 06:40:00,78.4783
2026-05-25 07:00:00,87.3833
2026-05-25 07:20:00,90.125
2026-05-25 07:40:00,91.225
,
2026-05-25 10:00:00,60.6145
2026-05-25 10:20:00,80.8467
2026-05-25 10:40:00,86.45
,
2026-05-26 08:20:00,47.3654
2026-05-26 08:40:00,72.5775
2026-05-26 09:00:00,85.4133
2026-05-26 09:20:00,88.88
,
2026-05-26 09:40:00,91.7846
2026-05-26 10:00:00,91.7692
2026-05-26 10:20:00,91.96
2026-05-26 10:40:00,92.0742
2026-05-26 11:00:00,92.2208
2026-05-26 11:20:00,92.1567
2026-05-26 11:40:00,92.0108
2026-05-26 12:00:00,92.0075
,
2026-05-27 06:40:00,52.3298
2026-05-27 07:00:00,75.6917
2026-05-27 07:20:00,86.8108
2026-05-27 07:40:00,89.9075
2026-05-27 08:00:00,90.9158
2026-05-27 08:20:00,91.1708
,
2026-05-27 10:00:00,61.9512
2026-05-27 10:20:00,79.7642
2026-05-27 10:40:00,88.2742
2026-05-27 11:00:00,90.0218
,
2026-05-27 11:20:00,91.2733
2026-05-27 11:40:00,91.62
2026-05-27 12:00:00,91.7867
2026-05-27 12:20:00,91.7
,
2026-05-28 06:20:00,57.6442
2026-05-28 06:40:00,80.4367
2026-05-28 07:00:00,87.8892
,
2026-05-28 09:20:00,55.8258
2026-05-28 09:40:00,76.025
2026-05-28 10:00:00,85.5437
,
2026-05-28 11:00:00,59.6789
2026-05-28 11:20:00,74.1317
2026-05-28 11:40:00,85.6876
,
2026-05-28 13:00:00,91.6
,
2026-05-29 06:00:00,39.0528
2026-05-29 06:20:00,64.8858
2026-05-29 06:40:00,82.6925
2026-05-29 07:00:00,86.8167
,
2026-05-29 07:20:00,71.0762
2026-05-29 07:40:00,81.3692
2026-05-29 08:00:00,87.7109
,
2026-05-29 10:00:00,61.8018
2026-05-29 10:20:00,80.8367
2026-05-29 10:40:00,86.7107
,
2026-05-29 11:20:00,91.1281
2026-05-29 11:40:00,91.37
2026-05-29 12:00:00,91.4382
,
2026-05-30 06:40:00,52.5578
2026-05-30 07:00:00,76.8983
2026-05-30 07:20:00,87.2275
2026-05-30 07:40:00,90.5125
2026-05-30 08:00:00,91.45
2026-05-30 08:20:00,91.439
,
2026-05-30 10:00:00,65.0367
2026-05-30 10:20:00,82.1692
2026-05-30 10:40:00,87.7583
,
2026-05-30 11:20:00,91.3615
2026-05-30 11:40:00,91.6067
2026-05-30 12:00:00,91.6667
2026-05-30 12:20:00,91.815
2026-05-30 12:40:00,92.017
,
2026-05-31 08:00:00,45.615
2026-05-31 08:20:00,70.7392
2026-05-31 08:40:00,85.08
2026-05-31 09:00:00,89.3933
2026-05-31 09:20:00,90.7658
2026-05-31 09:40:00,91.5225
2026-05-31 10:00:00,91.8617
,
2026-05-31 11:00:00,70.3278
2026-05-31 11:20:00,83.4617
2026-05-31 11:40:00,89.1333
2026-05-31 12:00:00,90.6
,
2026-05-31 12:40:00,92.1132
2026-05-31 13:00:00,91.885
2026-05-31 13:20:00,91.9558
2026-05-31 13:40:00,91.9029
,
2026-06-01 07:20:00,39.2833
2026-06-01 07:40:00,61.605
2026-06-01 08:00:00,81.3117
2026-06-01 08:20:00,88.53
2026-06-01 08:40:00,90.7533
2026-06-01 09:00:00,91.3253
,
2026-06-01 10:40:00,65.6
2026-06-01 11:00:00,81.9542
2026-06-01 11:20:00,86.9375
,
2026-06-01 11:20:00,88.9127
,
2026-06-01 12:00:00,91.2585
2026-06-01 12:20:00,91.3725
2026-06-01 12:40:00,91.8475
2026-06-01 13:00:00,92.1817
2026-06-01 13:20:00,92.4747
,
2026-06-02 06:00:00,49.5197
2026-06-02 06:20:00,73.1708
2026-06-02 06:40:00,85.6008
2026-06-02 07:00:00,89.7025
2026-06-02 07:20:00,90.78
2026-06-02 07:40:00,91.5131
,
2026-06-02 09:00:00,66.4767
2026-06-02 09:20:00,80.9692
2026-06-02 09:40:00,88.28
2026-06-02 10:00:00,90.5532
,
2026-06-02 10:40:00,92.2266
2026-06-02 11:00:00,92.1308
2026-06-02 11:20:00,91.7275
2026-06-02 11:40:00,91.78
,
2026-06-03 06:00:00,55.7167
2026-06-03 06:20:00,79.5483
2026-06-03 06:40:00,87.8717
2026-06-03 07:00:00,89.2529
,
2026-06-03 08:00:00,60.7027
2026-06-03 08:20:00,76.2908
2026-06-03 08:40:00,87.0025
