timestamp,runtime_min
2026-05-13 14:00:00,123.0
2026-05-13 14:20:00,142.1667
,
2026-05-14 08:00:00,11.8333
2026-05-14 08:20:00,31.8333
2026-05-14 08:40:00,42.6667
,
2026-05-14 09:20:00,6.0
2026-05-14 09:40:00,26.0
2026-05-14 10:00:00,46.0
2026-05-14 10:20:00,61.6667
,
2026-05-14 11:00:00,14.1667
2026-05-14 11:20:00,24.1667
,
2026-05-14 12:20:00,94.1667
2026-05-14 12:40:00,102.6667
,
2026-05-15 06:40:00,13.8333
2026-05-15 07:00:00,33.8333
2026-05-15 07:20:00,52.5
,
2026-05-15 08:00:00,0.1667
2026-05-15 08:20:00,20.1667
2026-05-15 08:40:00,40.1667
2026-05-15 09:00:00,53.3333
,
2026-05-15 10:00:00,5.6667
2026-05-15 10:20:00,25.6667
2026-05-15 10:40:00,45.6667
2026-05-15 11:00:00,55.8333
,
2026-05-15 11:40:00,105.6667
2026-05-15 12:00:00,125.6667
2026-05-15 12:20:00,138.6667
,
2026-05-16 08:00:00,17.8333
2026-05-16 08:20:00,37.8333
2026-05-16 08:40:00,57.8333
2026-05-16 09:00:00,77.8333
2026-05-16 09:20:00,81.3333
,
2026-05-16 11:20:00,13.3333
2026-05-16 11:40:00,33.3333
2026-05-16 12:00:00,43.6667
,
2026-05-16 12:40:00,93.3333
2026-05-16 13:00:00,113.3333
2026-05-16 13:20:00,122.0
,
2026-05-17 07:20:00,3.8333
2026-05-17 07:40:00,23.8333
2026-05-17 08:00:00,43.8333
2026-05-17 08:20:00,63.8333
2026-05-17 08:40:00,83.8333
,
2026-05-17 09:40:00,3.8333
2026-05-17 10:00:00,23.8333
2026-05-17 10:20:00,43.1667
,
2026-05-17 11:20:00,103.8333
2026-05-17 11:40:00,123.8333
2026-05-17 12:00:00,142.5
,
2026-05-18 08:20:00,9.8333
2026-05-18 08:40:00,29.8333
2026-05-18 09:00:00,49.8333
2026-05-18 09:20:00,63.3333
,
2026-05-18 10:00:00,109.8333
2026-05-18 10:20:00,129.8333
2026-05-18 10:40:00,149.8333
2026-05-18 11:00:00,169.8333
2026-05-18 11:20:00,189.8333
2026-05-18 11:40:00,209.8333
2026-05-18 12:00:00,213.0
,
2026-05-19 07:00:00,15.8333
2026-05-19 07:20:00,35.8333
2026-05-19 07:40:00,55.8333
2026-05-19 08:00:00,75.8333
2026-05-19 08:20:00,77.1667
,
2026-05-19 09:00:00,135.8333
2026-05-19 09:20:00,155.8333
2026-05-19 09:40:00,175.8333
2026-05-19 10:00:00,195.8333
2026-05-19 10:20:00,215.8333
2026-05-19 10:40:00,235.8333
2026-05-19 11:00:00,248.1667
,
2026-05-20 07:20:00,8.8333
2026-05-20 07:40:00,28.8333
2026-05-20 08:00:00,48.8333
2026-05-20 08:20:00,68.8333
2026-05-20 08:40:00,88.8333
2026-05-20 09:00:00,108.8333
2026-05-20 09:20:00,119.0
,
2026-05-20 11:40:00,1.6667
2026-05-20 12:00:00,21.6667
2026-05-20 12:20:00,41.6667
2026-05-20 12:40:00,57.6667
,
2026-05-20 13:40:00,121.6667
2026-05-20 14:00:00,141.6667
2026-05-20 14:20:00,161.6667
2026-05-20 14:40:00,179.3333
,
2026-05-21 06:00:00,12.8333
2026-05-21 06:20:00,32.8333
2026-05-21 06:40:00,52.8333
2026-05-21 07:00:00,66.3333
,
2026-05-21 08:20:00,15.3333
2026-05-21 08:40:00,35.3333
2026-05-21 09:00:00,55.3333
2026-05-21 09:20:00,57.0
,
2026-05-21 10:40:00,0.1667
2026-05-21 11:00:00,20.1667
2026-05-21 11:20:00,40.1667
2026-05-21 11:40:00,49.0
,
2026-05-21 12:20:00,100.1667
2026-05-21 12:40:00,120.1667
2026-05-21 13:00:00,135.3333
,
2026-05-22 07:40:00,10.8333
2026-05-22 08:00:00,30.8333
2026-05-22 08:20:00,50.8333
2026-05-22 08:40:00,70.8333
2026-05-22 09:00:00,90.8333
2026-05-22 09:20:00,110.8333
2026-05-22 09:40:00,122.6667
,
2026-05-22 11:20:00,19.0
2026-05-22 11:40:00,39.0
2026-05-22 12:00:00,55.6667
,
2026-05-22 12:40:00,99.0
2026-05-22 13:00:00,119.0
2026-05-22 13:20:00,139.0
2026-05-22 13:40:00,155.0
,
2026-05-23 07:00:00,0.8333
2026-05-23 07:20:00,20.8333
2026-05-23 07:40:00,40.8333
2026-05-23 08:00:00,60.8333
2026-05-23 08:20:00,80.8333
